.,.,.,.,0,0,0,.,.,.,.,.,.,.,.,.,00,00,00,00,FF,11,FF,FF
.,.,.,0,2,2,2,0,.,.,.,.,.,.,.,.,00,E0,00,00,EE,00,FF,FF
.,.,0,2,2,2,2,2,0,.,.,.,.,.,.,.,10,F0,00,00,CC,00,77,FF
.,.,0,2,2,2,2,2,2,0,.,.,.,.,.,.,10,F0,80,00,CC,00,33,FF
.,.,0,2,2,2,0,0,0,0,.,.,.,.,.,.,10,C0,00,00,CC,00,33,FF
.,.,0,2,0,0,3,3,3,0,.,.,.,.,.,.,10,33,88,00,CC,00,33,FF
.,.,0,0,0,3,3,2,3,0,.,.,.,.,.,.,00,76,88,00,CC,00,33,FF
.,0,2,2,0,3,3,3,3,3,.,.,.,.,.,.,30,77,CC,00,88,00,33,FF
0,2,2,2,0,3,3,3,3,0,.,.,.,.,.,.,70,77,88,00,00,00,33,FF
0,2,0,0,1,3,3,0,0,.,.,.,.,.,.,.,40,6E,00,00,00,00,77,FF
.,0,0,0,0,1,1,0,.,.,.,.,.,.,.,.,00,06,00,00,88,00,FF,FF
.,.,.,0,2,0,0,0,.,.,.,.,.,.,.,.,00,80,00,00,EE,00,FF,FF
.,.,.,0,2,2,2,0,0,.,.,.,.,.,.,.,00,E0,00,00,EE,00,77,FF
.,.,0,2,2,2,2,2,0,.,.,.,.,.,.,.,10,F0,00,00,CC,00,77,FF
.,.,0,2,2,0,2,2,2,0,0,0,.,.,.,.,10,B0,80,00,CC,00,00,FF
.,.,0,2,2,0,2,2,2,2,3,1,.,.,.,.,10,B0,E3,00,CC,00,00,FF
.,.,0,2,2,0,2,2,2,2,3,1,.,.,.,.,10,B0,E3,00,CC,00,00,FF
.,.,0,2,2,2,0,0,0,0,0,0,.,.,.,.,10,C0,00,00,CC,00,00,FF
.,.,0,2,2,2,2,2,0,0,.,.,.,.,.,.,10,F0,00,00,CC,00,33,FF
.,.,.,0,1,1,1,1,0,.,.,.,.,.,.,.,00,0F,00,00,EE,00,77,FF
.,.,.,0,1,1,1,1,0,0,.,.,.,.,.,.,00,0F,00,00,EE,00,33,FF
.,.,0,1,1,1,1,1,1,0,.,.,.,.,.,.,01,0F,08,00,CC,00,33,FF
.,.,0,1,1,0,1,1,1,0,.,.,.,.,.,.,01,0B,08,00,CC,00,33,FF
.,.,0,1,1,0,1,1,1,0,.,.,.,.,.,.,01,0B,08,00,CC,00,33,FF
.,.,0,1,1,0,1,1,1,0,.,.,.,.,.,.,01,0B,08,00,CC,00,33,FF
.,.,0,1,0,1,1,1,1,0,.,.,.,.,.,.,01,07,08,00,CC,00,33,FF
.,.,0,1,0,1,1,1,0,.,.,.,.,.,.,.,01,07,00,00,CC,00,77,FF
.,.,0,0,0,1,1,1,0,.,.,.,.,.,.,.,00,07,00,00,CC,00,77,FF
.,.,0,0,0,0,0,0,.,.,.,.,.,.,.,.,00,00,00,00,CC,00,FF,FF
.,.,3,3,0,3,3,3,0,.,.,.,.,.,.,.,33,77,00,00,CC,00,77,FF
.,.,3,3,0,3,3,3,3,0,.,.,.,.,.,.,33,77,88,00,CC,00,33,FF
.,.,0,3,3,0,3,3,3,0,.,.,.,.,.,.,11,BB,88,00,CC,00,33,FF
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,00,00,00,00,FF,FF,FF,FF
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,00,E0,00,00,FF,FF,FF,FF
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,00,F0,00,00,FF,FF,FF,FF
