.,.,.,.,0,0,0,.,.,.,.,.,.,.,.,.,00,00,00,00,FF,11,FF,FF
.,.,.,0,2,2,2,0,.,.,.,.,.,.,.,.,00,E0,00,00,EE,00,FF,FF
.,.,0,2,2,2,2,2,0,.,.,.,.,.,.,.,10,F0,00,00,CC,00,77,FF
.,.,0,2,2,2,2,2,2,0,.,.,.,.,.,.,10,F0,80,00,CC,00,33,FF
.,.,0,2,2,2,0,0,0,0,.,.,.,.,.,.,10,C0,00,00,CC,00,33,FF
.,.,0,2,0,0,3,3,3,0,.,.,.,.,.,.,10,33,88,00,CC,00,33,FF
.,.,0,2,0,3,3,1,3,0,.,.,.,.,.,.,10,67,88,00,CC,00,33,FF
.,0,2,2,0,3,3,3,3,3,0,.,.,.,.,.,30,77,CC,00,88,00,11,FF
0,2,2,2,0,3,3,3,3,0,.,.,.,.,.,.,70,77,88,00,00,00,33,FF
0,2,0,0,1,3,3,0,0,.,.,.,.,.,.,.,40,6E,00,00,00,00,77,FF
.,0,0,0,1,1,1,0,.,.,.,.,.,.,.,.,00,0E,00,00,88,00,FF,FF
.,.,.,0,2,1,1,0,.,.,.,.,.,.,.,.,00,86,00,00,EE,00,FF,FF
.,.,.,0,2,2,2,0,0,.,.,.,.,.,.,.,00,E0,00,00,EE,00,77,FF
.,.,0,2,2,2,2,2,0,.,.,.,.,.,.,.,10,F0,00,00,CC,00,77,FF
.,.,0,2,2,2,2,2,2,0,.,.,.,.,.,.,10,F0,80,00,CC,00,33,FF
.,.,0,2,2,2,2,2,2,0,.,.,.,.,.,.,10,F0,80,00,CC,00,33,FF
.,.,0,2,2,2,2,2,2,0,.,.,.,.,.,.,10,F0,80,00,CC,00,33,FF
.,.,0,2,2,2,2,2,2,0,.,.,.,.,.,.,10,F0,80,00,CC,00,33,FF
.,.,0,2,2,2,2,2,0,0,.,.,.,.,.,.,10,F0,00,00,CC,00,33,FF
.,.,.,0,1,1,1,1,0,.,.,.,.,.,.,.,00,0F,00,00,EE,00,77,FF
.,.,.,0,1,1,1,1,0,.,.,.,.,.,.,.,00,0F,00,00,EE,00,77,FF
.,.,0,1,1,1,1,1,0,.,.,.,.,.,.,.,01,0F,00,00,CC,00,77,FF
.,.,0,1,1,0,1,1,0,.,.,.,.,.,.,.,01,0B,00,00,CC,00,77,FF
.,.,0,1,1,0,1,1,0,.,.,.,.,.,.,.,01,0B,00,00,CC,00,77,FF
.,.,0,1,1,0,1,1,0,.,.,.,.,.,.,.,01,0B,00,00,CC,00,77,FF
.,.,0,1,0,1,1,1,0,.,.,.,.,.,.,.,01,07,00,00,CC,00,77,FF
.,.,0,1,0,1,1,1,0,.,.,.,.,.,.,.,01,07,00,00,CC,00,77,FF
.,.,0,1,0,1,1,0,.,.,.,.,.,.,.,.,01,06,00,00,CC,00,FF,FF
.,.,0,0,0,0,0,0,.,.,.,.,.,.,.,.,00,00,00,00,CC,00,FF,FF
.,.,3,3,0,3,3,3,0,.,.,.,.,.,.,.,33,77,00,00,CC,00,77,FF
.,.,3,3,0,3,3,3,3,0,.,.,.,.,.,.,33,77,88,00,CC,00,33,FF
.,.,0,3,3,0,3,3,3,0,.,.,.,.,.,.,11,BB,88,00,CC,00,33,FF
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
.,.,.,.,.,0,0,0,.,.,.,.,.,.,.,.,00,00,00,00,FF,88,FF,FF
.,.,.,.,0,2,2,2,0,.,.,.,.,.,.,.,00,E0,00,00,FF,00,77,FF
.,.,.,0,2,2,2,2,2,0,.,.,.,.,.,.,00,F0,80,00,EE,00,33,FF
